id,player_class,type,cost,attack,health,rarity,mechanics1,mechanics2,mechanics3,mechanics4,play_requirements1,play_requirements2,play_requirements3,play_requirements4,play_requirements5,play_requirements_val1,play_requirements_val2,play_requirements_val3,play_requirements_val4,play_requirements_val5,race,durability,entourage
BRM_010t2,0.08333333333333333,0.16666666666666666,0.3,0.06666666666666667,0.025,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0
OG_141,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.05,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EX1_583,0.16666666666666666,0.16666666666666666,0.6,0.16666666666666666,0.02,0.2,0.029411764705882353,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFM_095,0.16666666666666666,0.16666666666666666,0.1,0.03333333333333333,0.005,0.6,0.14705882352941177,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0
BRM_018,0.4166666666666667,0.16666666666666666,0.5,0.16666666666666666,0.025,0.8,0.029411764705882353,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0
BRMA10_5H,0.16666666666666666,0.16666666666666666,0.4,0.23333333333333334,0.035,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0
GVG_030,0.08333333333333333,0.16666666666666666,0.2,0.06666666666666667,0.01,0.2,0.17647058823529413,0.20588235294117646,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0
CS2_227,0.16666666666666666,0.16666666666666666,0.5,0.23333333333333334,0.03,0.2,0.23529411764705882,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAR_062,0.16666666666666666,0.16666666666666666,0.2,0.03333333333333333,0.015,0.2,0.029411764705882353,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFM_712_t17,0.16666666666666666,0.16666666666666666,1.0,0.5666666666666667,0.085,1.0,0.2647058823529412,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OG_024,0.5,0.16666666666666666,0.4,0.23333333333333334,0.035,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAR_710m,0.16666666666666666,0.16666666666666666,0.2,0.0,0.025,1.0,0.20588235294117646,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OG_158,0.16666666666666666,0.16666666666666666,0.1,0.03333333333333333,0.005,0.2,0.14705882352941177,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFM_621_m2,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.025,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0
TB_Coopv3_100,0.16666666666666666,0.16666666666666666,0.3,0.1,0.02,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
